,Date,Count,WeekDate,WeekCount
159,2015-05-07,3608.0,2015-05-04,45536.0
160,2015-05-08,5874.0,2015-05-04,45536.0
161,2015-05-09,10225.0,2015-05-04,45536.0
162,2015-05-10,4572.0,2015-05-04,45536.0
163,2015-05-11,8448.0,2015-05-11,40054.0
164,2015-05-12,4857.0,2015-05-11,40054.0
165,2015-05-13,4891.0,2015-05-11,40054.0
166,2015-05-14,5125.0,2015-05-11,40054.0
167,2015-05-15,4600.0,2015-05-11,40054.0
168,2015-05-16,7726.0,2015-05-11,40054.0
169,2015-05-17,4407.0,2015-05-11,40054.0
170,2015-05-18,7473.0,2015-05-18,36849.0
171,2015-05-19,5408.0,2015-05-18,36849.0
172,2015-05-20,6987.0,2015-05-18,36849.0
173,2015-05-21,4538.0,2015-05-18,36849.0
174,2015-05-22,3703.0,2015-05-18,36849.0
175,2015-05-23,4008.0,2015-05-18,36849.0
176,2015-05-24,4732.0,2015-05-18,36849.0
177,2015-05-25,5651.0,2015-05-25,37391.0
178,2015-05-26,5205.0,2015-05-25,37391.0
179,2015-05-27,2848.0,2015-05-25,37391.0
180,2015-05-28,10781.0,2015-05-25,37391.0
181,2015-05-29,3948.0,2015-05-25,37391.0
182,2015-05-30,3299.0,2015-05-25,37391.0
183,2015-05-31,5659.0,2015-05-25,37391.0
184,2015-06-01,7187.0,2015-06-01,51742.0
185,2015-06-02,3877.0,2015-06-01,51742.0
186,2015-06-03,12960.0,2015-06-01,51742.0
187,2015-06-04,5347.0,2015-06-01,51742.0
188,2015-06-05,5286.0,2015-06-01,51742.0
189,2015-06-06,11714.0,2015-06-01,51742.0
190,2015-06-07,5371.0,2015-06-01,51742.0
191,2015-06-08,5046.0,2015-06-08,44999.0
192,2015-06-09,5802.0,2015-06-08,44999.0
193,2015-06-10,4193.0,2015-06-08,44999.0
194,2015-06-11,4589.0,2015-06-08,44999.0
195,2015-06-12,10195.0,2015-06-08,44999.0
196,2015-06-13,10021.0,2015-06-08,44999.0
197,2015-06-14,5153.0,2015-06-08,44999.0
198,2015-06-15,7022.0,2015-06-15,64872.0
199,2015-06-16,6812.0,2015-06-15,64872.0
200,2015-06-17,6408.0,2015-06-15,64872.0
201,2015-06-18,11148.0,2015-06-15,64872.0
202,2015-06-19,5816.0,2015-06-15,64872.0
203,2015-06-20,6695.0,2015-06-15,64872.0
204,2015-06-21,20971.0,2015-06-15,64872.0
205,2015-06-22,19558.0,2015-06-22,125841.0
206,2015-06-23,20117.0,2015-06-22,125841.0
207,2015-06-24,19114.0,2015-06-22,125841.0
208,2015-06-25,28166.0,2015-06-22,125841.0
209,2015-06-26,12228.0,2015-06-22,125841.0
