Date,Count,WeekDate,WeekCount
2017-10-03,13657.0,2017-10-02,72912.0
2017-10-04,8546.0,2017-10-02,72912.0
2017-10-05,9773.0,2017-10-02,72912.0
2017-10-06,13407.0,2017-10-02,72912.0
2017-10-07,4209.0,2017-10-02,72912.0
2017-10-08,12461.0,2017-10-02,72912.0
2017-10-09,9854.0,2017-10-09,54962.0
2017-10-10,9198.0,2017-10-09,54962.0
2017-10-11,6699.0,2017-10-09,54962.0
2017-10-12,5416.0,2017-10-09,54962.0
2017-10-13,5098.0,2017-10-09,54962.0
2017-10-14,7484.0,2017-10-09,54962.0
2017-10-15,11213.0,2017-10-09,54962.0
2017-10-16,6676.0,2017-10-16,60390.0
2017-10-17,11035.0,2017-10-16,60390.0
2017-10-18,8622.0,2017-10-16,60390.0
2017-10-19,10194.0,2017-10-16,60390.0
2017-10-20,3892.0,2017-10-16,60390.0
2017-10-21,8418.0,2017-10-16,60390.0
2017-10-22,11553.0,2017-10-16,60390.0
2017-10-23,4070.0,2017-10-23,65038.0
2017-10-24,11193.0,2017-10-23,65038.0
2017-10-25,9423.0,2017-10-23,65038.0
2017-10-26,13202.0,2017-10-23,65038.0
2017-10-27,9593.0,2017-10-23,65038.0
2017-10-28,3210.0,2017-10-23,65038.0
2017-10-29,14347.0,2017-10-23,65038.0
2017-10-30,7597.0,2017-10-30,76894.0
2017-10-31,16052.0,2017-10-30,76894.0
2017-11-01,10760.0,2017-10-30,76894.0
2017-11-02,16650.0,2017-10-30,76894.0
2017-11-03,10103.0,2017-10-30,76894.0
2017-11-04,4202.0,2017-10-30,76894.0
2017-11-05,11530.0,2017-10-30,76894.0
2017-11-06,4940.0,2017-11-06,52990.0
2017-11-07,7954.0,2017-11-06,52990.0
2017-11-08,5147.0,2017-11-06,52990.0
2017-11-09,14254.0,2017-11-06,52990.0
2017-11-10,6126.0,2017-11-06,52990.0
2017-11-11,2759.0,2017-11-06,52990.0
2017-11-12,11810.0,2017-11-06,52990.0
2017-11-13,7364.0,2017-11-13,59694.0
2017-11-14,12396.0,2017-11-13,59694.0
2017-11-15,6522.0,2017-11-13,59694.0
2017-11-16,4352.0,2017-11-13,59694.0
2017-11-17,13973.0,2017-11-13,59694.0
2017-11-18,3292.0,2017-11-13,59694.0
2017-11-19,11795.0,2017-11-13,59694.0
2017-11-20,3759.0,2017-11-20,64202.0
2017-11-21,9494.0,2017-11-20,64202.0
2017-11-22,13114.0,2017-11-20,64202.0
2017-11-23,5156.0,2017-11-20,64202.0
2017-11-24,5604.0,2017-11-20,64202.0
2017-11-25,17304.0,2017-11-20,64202.0
2017-11-26,9771.0,2017-11-20,64202.0
2017-11-27,5390.0,2017-11-27,57025.0
2017-11-28,8694.0,2017-11-27,57025.0
2017-11-29,5257.0,2017-11-27,57025.0
2017-11-30,8529.0,2017-11-27,57025.0
2017-12-01,11531.0,2017-11-27,57025.0
2017-12-02,4798.0,2017-11-27,57025.0
2017-12-03,12826.0,2017-11-27,57025.0
2017-12-04,10480.0,2017-12-04,79871.0
2017-12-05,13378.0,2017-12-04,79871.0
2017-12-06,18589.0,2017-12-04,79871.0
2017-12-07,11838.0,2017-12-04,79871.0
2017-12-08,8848.0,2017-12-04,79871.0
2017-12-09,6740.0,2017-12-04,79871.0
2017-12-10,9998.0,2017-12-04,79871.0
2017-12-11,5130.0,2017-12-11,62962.0
2017-12-12,10156.0,2017-12-11,62962.0
2017-12-13,7914.0,2017-12-11,62962.0
2017-12-14,8099.0,2017-12-11,62962.0
2017-12-15,12614.0,2017-12-11,62962.0
2017-12-16,7708.0,2017-12-11,62962.0
2017-12-17,11341.0,2017-12-11,62962.0
2017-12-18,10081.0,2017-12-18,55404.0
2017-12-19,8767.0,2017-12-18,55404.0
2017-12-20,4689.0,2017-12-18,55404.0
2017-12-21,5225.0,2017-12-18,55404.0
2017-12-22,14163.0,2017-12-18,55404.0
2017-12-23,5198.0,2017-12-18,55404.0
2017-12-24,7281.0,2017-12-18,55404.0
2017-12-25,4344.0,2017-12-25,86708.0
2017-12-26,19480.0,2017-12-25,86708.0
2017-12-27,18306.0,2017-12-25,86708.0
2017-12-28,9485.0,2017-12-25,86708.0
2017-12-29,11861.0,2017-12-25,86708.0
2017-12-30,8662.0,2017-12-25,86708.0
2017-12-31,14570.0,2017-12-25,86708.0
2018-01-01,3251.0,2018-01-01,53675.0
2018-01-02,9746.0,2018-01-01,53675.0
2018-01-03,10231.0,2018-01-01,53675.0
2018-01-04,8546.0,2018-01-01,53675.0
2018-01-05,10759.0,2018-01-01,53675.0
2018-01-06,8043.0,2018-01-01,53675.0
2018-01-07,3099.0,2018-01-01,53675.0
2018-01-08,15024.0,2018-01-08,66685.0
2018-01-09,3165.0,2018-01-08,66685.0
2018-01-10,7315.0,2018-01-08,66685.0
2018-01-11,16864.0,2018-01-08,66685.0
2018-01-12,5142.0,2018-01-08,66685.0
2018-01-13,4754.0,2018-01-08,66685.0
2018-01-14,14421.0,2018-01-08,66685.0
2018-01-15,6532.0,2018-01-15,65997.0
2018-01-16,8650.0,2018-01-15,65997.0
2018-01-17,13530.0,2018-01-15,65997.0
2018-01-18,12575.0,2018-01-15,65997.0
2018-01-19,5832.0,2018-01-15,65997.0
2018-01-20,5164.0,2018-01-15,65997.0
2018-01-21,13714.0,2018-01-15,65997.0
2018-01-22,13310.0,2018-01-22,72671.0
2018-01-23,13150.0,2018-01-22,72671.0
2018-01-24,7519.0,2018-01-22,72671.0
2018-01-25,11318.0,2018-01-22,72671.0
2018-01-26,4359.0,2018-01-22,72671.0
2018-01-27,10262.0,2018-01-22,72671.0
2018-01-28,12753.0,2018-01-22,72671.0
2018-01-29,4753.0,2018-01-29,63971.0
2018-01-30,10834.0,2018-01-29,63971.0
2018-01-31,8028.0,2018-01-29,63971.0
2018-02-01,14700.0,2018-01-29,63971.0
2018-02-02,6104.0,2018-01-29,63971.0
2018-02-03,4351.0,2018-01-29,63971.0
2018-02-04,15201.0,2018-01-29,63971.0
2018-02-05,9231.0,2018-02-05,59551.0
2018-02-06,5162.0,2018-02-05,59551.0
2018-02-07,5009.0,2018-02-05,59551.0
2018-02-08,13050.0,2018-02-05,59551.0
2018-02-09,7733.0,2018-02-05,59551.0
2018-02-10,6867.0,2018-02-05,59551.0
2018-02-11,12499.0,2018-02-05,59551.0
2018-02-12,7002.0,2018-02-12,65081.0
2018-02-13,12459.0,2018-02-12,65081.0
2018-02-14,8148.0,2018-02-12,65081.0
2018-02-15,8310.0,2018-02-12,65081.0
2018-02-16,9064.0,2018-02-12,65081.0
2018-02-17,4256.0,2018-02-12,65081.0
2018-02-18,15842.0,2018-02-12,65081.0
2018-02-19,6086.0,2018-02-19,57914.0
2018-02-20,4935.0,2018-02-19,57914.0
2018-02-21,6733.0,2018-02-19,57914.0
2018-02-22,8048.0,2018-02-19,57914.0
2018-02-23,13533.0,2018-02-19,57914.0
2018-02-24,6156.0,2018-02-19,57914.0
2018-02-25,12423.0,2018-02-19,57914.0
2018-02-26,12499.0,2018-02-26,61873.0
2018-02-27,9964.0,2018-02-26,61873.0
2018-02-28,7160.0,2018-02-26,61873.0
2018-03-01,5238.0,2018-02-26,61873.0
2018-03-02,13346.0,2018-02-26,61873.0
2018-03-03,3198.0,2018-02-26,61873.0
2018-03-04,10468.0,2018-02-26,61873.0
2018-03-05,4637.0,2018-03-05,67724.0
2018-03-06,7027.0,2018-03-05,67724.0
2018-03-07,9840.0,2018-03-05,67724.0
2018-03-08,5470.0,2018-03-05,67724.0
2018-03-09,12645.0,2018-03-05,67724.0
2018-03-10,12284.0,2018-03-05,67724.0
2018-03-11,15821.0,2018-03-05,67724.0
2018-03-12,4610.0,2018-03-12,60368.0
2018-03-13,5984.0,2018-03-12,60368.0
2018-03-14,10607.0,2018-03-12,60368.0
2018-03-15,4732.0,2018-03-12,60368.0
2018-03-16,12640.0,2018-03-12,60368.0
2018-03-17,6466.0,2018-03-12,60368.0
2018-03-18,15329.0,2018-03-12,60368.0
2018-03-19,6186.0,2018-03-19,66033.0
2018-03-20,9014.0,2018-03-19,66033.0
2018-03-21,6091.0,2018-03-19,66033.0
2018-03-22,10948.0,2018-03-19,66033.0
2018-03-23,11463.0,2018-03-19,66033.0
2018-03-24,10006.0,2018-03-19,66033.0
2018-03-25,12325.0,2018-03-19,66033.0
2018-03-26,5312.0,2018-03-26,60478.0
2018-03-27,10973.0,2018-03-26,60478.0
2018-03-28,9235.0,2018-03-26,60478.0
2018-03-29,7891.0,2018-03-26,60478.0
2018-03-30,10895.0,2018-03-26,60478.0
2018-03-31,5685.0,2018-03-26,60478.0
2018-04-01,10487.0,2018-03-26,60478.0
2018-04-02,15075.0,2018-04-02,54589.0
2018-04-03,3576.0,2018-04-02,54589.0
2018-04-04,8349.0,2018-04-02,54589.0
2018-04-05,4927.0,2018-04-02,54589.0
2018-04-06,2799.0,2018-04-02,54589.0
2018-04-07,6212.0,2018-04-02,54589.0
2018-04-08,13651.0,2018-04-02,54589.0
2018-04-09,8352.0,2018-04-09,61252.0
2018-04-10,12733.0,2018-04-09,61252.0
2018-04-11,6158.0,2018-04-09,61252.0
2018-04-12,8366.0,2018-04-09,61252.0
2018-04-13,7908.0,2018-04-09,61252.0
2018-04-14,5497.0,2018-04-09,61252.0
2018-04-15,12238.0,2018-04-09,61252.0
2018-04-16,8444.0,2018-04-16,45746.0
2018-04-17,3060.0,2018-04-16,45746.0
2018-04-18,5736.0,2018-04-16,45746.0
2018-04-19,7476.0,2018-04-16,45746.0
2018-04-20,5146.0,2018-04-16,45746.0
2018-04-21,5187.0,2018-04-16,45746.0
2018-04-22,10697.0,2018-04-16,45746.0
2018-04-23,17380.0,2018-04-23,92694.0
2018-04-24,11370.0,2018-04-23,92694.0
2018-04-25,9556.0,2018-04-23,92694.0
2018-04-26,14332.0,2018-04-23,92694.0
2018-04-27,14558.0,2018-04-23,92694.0
2018-04-28,17867.0,2018-04-23,92694.0
2018-04-29,7631.0,2018-04-23,92694.0
2018-04-30,13870.0,2018-04-30,63699.0
2018-05-01,6029.0,2018-04-30,63699.0
2018-05-02,9953.0,2018-04-30,63699.0
2018-05-03,7469.0,2018-04-30,63699.0
2018-05-04,8151.0,2018-04-30,63699.0
2018-05-05,5712.0,2018-04-30,63699.0
2018-05-06,12515.0,2018-04-30,63699.0
2018-05-07,5675.0,2018-05-07,54808.0
2018-05-08,7497.0,2018-05-07,54808.0
2018-05-09,5845.0,2018-05-07,54808.0
2018-05-10,6440.0,2018-05-07,54808.0
2018-05-11,13247.0,2018-05-07,54808.0
2018-05-12,5245.0,2018-05-07,54808.0
2018-05-13,10859.0,2018-05-07,54808.0
2018-05-14,10957.0,2018-05-14,70205.0
2018-05-15,5416.0,2018-05-14,70205.0
2018-05-16,7985.0,2018-05-14,70205.0
2018-05-17,13961.0,2018-05-14,70205.0
2018-05-18,7600.0,2018-05-14,70205.0
2018-05-19,9244.0,2018-05-14,70205.0
2018-05-20,15042.0,2018-05-14,70205.0
2018-05-21,14867.0,2018-05-21,95323.0
2018-05-22,15869.0,2018-05-21,95323.0
2018-05-23,12450.0,2018-05-21,95323.0
2018-05-24,11912.0,2018-05-21,95323.0
2018-05-25,10437.0,2018-05-21,95323.0
2018-05-26,11055.0,2018-05-21,95323.0
2018-05-27,18733.0,2018-05-21,95323.0
2018-05-28,10365.0,2018-05-28,68884.0
2018-05-29,7015.0,2018-05-28,68884.0
2018-05-30,10443.0,2018-05-28,68884.0
2018-05-31,8281.0,2018-05-28,68884.0
2018-06-01,6205.0,2018-05-28,68884.0
2018-06-02,7336.0,2018-05-28,68884.0
2018-06-03,19239.0,2018-05-28,68884.0
2018-06-04,11047.0,2018-06-04,77264.0
2018-06-05,8097.0,2018-06-04,77264.0
2018-06-06,11587.0,2018-06-04,77264.0
2018-06-07,9558.0,2018-06-04,77264.0
2018-06-08,16605.0,2018-06-04,77264.0
2018-06-09,7080.0,2018-06-04,77264.0
2018-06-10,13290.0,2018-06-04,77264.0
2018-06-11,8763.0,2018-06-11,71934.0
2018-06-12,11189.0,2018-06-11,71934.0
2018-06-13,8943.0,2018-06-11,71934.0
2018-06-14,9721.0,2018-06-11,71934.0
2018-06-15,11712.0,2018-06-11,71934.0
2018-06-16,4982.0,2018-06-11,71934.0
2018-06-17,16624.0,2018-06-11,71934.0
2018-06-18,9173.0,2018-06-18,96864.0
2018-06-19,12245.0,2018-06-18,96864.0
2018-06-20,4420.0,2018-06-18,96864.0
2018-06-21,16306.0,2018-06-18,96864.0
2018-06-22,18341.0,2018-06-18,96864.0
2018-06-23,19003.0,2018-06-18,96864.0
2018-06-24,17376.0,2018-06-18,96864.0
2018-06-25,15300.0,2018-06-25,100155.0
2018-06-26,17520.0,2018-06-25,100155.0
2018-06-27,14164.0,2018-06-25,100155.0
2018-06-28,12739.0,2018-06-25,100155.0
2018-06-29,13132.0,2018-06-25,100155.0
